opportunity_title,description,deadline,link,category,crawled_at
Job Opportunities & Fairs,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/job-opportunities---fairs,Job,2025-08-01T17:10:26.708612+00:00
Recruit NTU Students for Jobs,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-employers/recruit-ntu-students-for-jobs,Job,2025-08-01T17:10:26.708639+00:00
Careers,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/about-us/build-a-career-at-ntu,Job,2025-08-01T17:10:26.708651+00:00
"Career Guidance, Jobs and Internships",No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations,Job,2025-08-01T17:10:26.708654+00:00
Career Coaching & Consultation,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/career-coaching---consultation,Job,2025-08-01T17:10:26.708657+00:00
Career Planning Tools,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/career-planning-tools,Job,2025-08-01T17:10:26.708660+00:00
Industry Exposure & Internships,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/industry-exposure---internships,Job,2025-08-01T17:10:26.708662+00:00
Skills Development,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/skills-development,Training,2025-08-01T17:10:26.708665+00:00
Scholarships and Awards,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/admissions/undergraduate/scholarships,Scholarship,2025-08-01T17:10:26.708668+00:00
Scholarships,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/admissions/graduate/financialmatters/scholarships,Scholarship,2025-08-01T17:10:26.708670+00:00
Research Grants / Revenue,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/about-us/facts-figures/research-grants-revenue,Scholarship,2025-08-01T17:10:26.708673+00:00
Tuition Grants,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/admissions/undergraduate/financial-matters/tuition-grants,Scholarship,2025-08-01T17:10:26.708675+00:00
Career,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/career,Job,2025-08-01T17:10:29.343353+00:00
National Science Scholarship (BS-PhD),No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-undergraduate-studies/national-science-scholarship-bs,Scholarship,2025-08-01T17:10:29.343387+00:00
National Science Scholarship (Masters),No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/national-science-scholarship-masters,Scholarship,2025-08-01T17:10:29.343394+00:00
National Science Scholarship (PhD),No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/national-science-scholarship-phd,Scholarship,2025-08-01T17:10:29.343399+00:00
A*STAR Computing & Information Science Scholarship,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/a-star-cis-scholarship,Scholarship,2025-08-01T17:10:29.343404+00:00
A*STAR Graduate Scholarship,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/a-star-graduate-scholarship-singapore,Scholarship,2025-08-01T17:10:29.343408+00:00
International Awardees,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/our-scholars/scholarship-awardees,Job,2025-08-01T17:10:29.343412+00:00
Scholarship Award Ceremony 2025,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/our-scholars/scholarship-award-ceremony-2025,Scholarship,2025-08-01T17:10:29.343417+00:00
Funding Opportunities,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Research/funding-opportunities,Scholarship,2025-08-01T17:10:29.343422+00:00
0Your <strong>Saved Jobs</strong>,No description available,Not specified,https://grab.careers/en/jobs/saved-jobs/,Job,2025-08-01T17:10:32.674472+00:00
Career pathways,No description available,Not specified,https://grab.careers/en/how-we-hire/career-pathways/,Job,2025-08-01T17:10:32.674499+00:00
Come Make History With Us | Shopee Careers,No description,Not specified,https://careers.shopee.sg/,Job,2025-08-01T17:10:34.004729+00:00
Careers,No description available,Not specified,https://www.commonapp.org/careers,Job,2025-08-01T17:10:35.364968+00:00
Career Advice,No description available,Not specified,https://scholarship-positions.com/category/careers/,Job,2025-08-01T17:10:36.977401+00:00
Career Counselling,No description available,Not specified,https://scholarship-positions.com/career-counselling/,Job,2025-08-01T17:10:36.977533+00:00
Scholarship Positions 2024 2025,No description available,Not specified,https://scholarship-positions.com/,"Job, Scholarship",2025-08-01T17:10:36.977551+00:00
Internships,No description available,Not specified,https://opportunitydesk.org/category/jobs-and-internships/internships/,Job,2025-08-01T17:10:39.513257+00:00
"20 Hot Jobs, Internship and Volunteer Opportunities Across Various Sectors Currently Open – July 26, 2025Â",No description available,jul,https://opportunitydesk.org/2025/07/27/20-hot-jobs-internship-and-volunteer-opportunities-across-various-sectors-currently-open-july-26-2025/,Job,2025-08-01T17:10:39.513286+00:00
Hot Jobs,No description available,Not specified,https://opportunitydesk.org/category/jobs-and-internships/,Job,2025-08-01T17:10:39.513292+00:00
Scholarships,No description available,Not specified,https://opportunitydesk.org/category/fellowships-and-scholarships/,Scholarship,2025-08-01T17:10:39.513298+00:00
Short Courses,No description available,Not specified,https://opportunitydesk.org/category/fellowships-and-scholarships/short-courses/,Training,2025-08-01T17:10:39.513303+00:00
Online Courses,No description available,Not specified,https://opportunitydesk.org/category/fellowships-and-scholarships/online-courses/,Training,2025-08-01T17:10:39.513308+00:00
Grants,No description available,Not specified,https://opportunitydesk.org/category/grants/,Scholarship,2025-08-01T17:10:39.513312+00:00
"The Habitat Foundation Grants 2026 (up to RM50,000)",No description available,Not specified,https://opportunitydesk.org/2025/08/01/the-habitat-foundation-grants-2026/,Scholarship,2025-08-01T17:10:39.513317+00:00
Training,No description available,Not specified,https://opportunitydesk.org/category/training-and-conference/training/,Training,2025-08-01T17:10:39.513322+00:00
African Union CIEFFA Online Capacity Building Training 2025 (Fully-funded),No description available,Not specified,https://opportunitydesk.org/2025/07/30/african-union-cieffa-online-capacity-building-training-2025/,Training,2025-08-01T17:10:39.513326+00:00
East Africa Law Society Training for Public Interest Lawyers on Digital Rights in Sub Saharan Africa 2025 (Fully-funded),No description available,Not specified,https://opportunitydesk.org/2025/07/23/eals-training-for-public-interest-lawyers-2025/,Training,2025-08-01T17:10:39.513330+00:00
UNESCO Quantum Course for Women Scientists in Africa 2025,No description available,Not specified,https://opportunitydesk.org/2025/08/01/unesco-quantum-course-for-women-scientists-in-africa-2025/,Training,2025-08-01T17:10:39.513335+00:00
Scholarships,No description available,Not specified,https://www.youthop.com/scholarships,Scholarship,2025-08-01T17:10:53.164803+00:00
ScholarshipsThe Rhodes Scholarship 2025 (Fully Funded),No description available,Not specified,https://www.youthop.com/scholarships/the-rhodes-scholarship-2025-fully-funded?ref=home_featured,Scholarship,2025-08-01T17:10:53.164828+00:00
ScholarshipsKnight-Hennessy Scholars (KHS) program,No description available,Not specified,https://www.youthop.com/scholarships/knight-hennessy-scholars-khs-program?ref=home_featured,Scholarship,2025-08-01T17:10:53.164833+00:00
Grants,No description available,Not specified,https://www.youthop.com/competitions/grants,Scholarship,2025-08-01T17:10:53.164836+00:00
Call for Applications: Women of the South Speak Out Fellowship (WOSSO) Fellowship for the Asia-Pacific,No description available,Not specified,https://www.youthop.com/competitions/grants/call-for-applications-women-of-the-south-speak-out-fellowship-wosso-fellowship-for-the-asia-pacific?ref=home_trending,Scholarship,2025-08-01T17:10:53.164839+00:00
"Global Innovation Challenge 2024 (Grant Awards of up to $10,000 USD)",No description available,Not specified,https://www.youthop.com/competitions/global-innovation-challenge-2024-grant-awards-of-up-to-10000-usd?ref=home_trending,"Scholarship, Competition, Entrepreneurship",2025-08-01T17:10:53.164841+00:00
UN Young Leaders Training Programme 2024,No description available,Not specified,https://www.youthop.com/miscellaneous/un-young-leaders-training-programme-2024?ref=home_trending,Training,2025-08-01T17:10:53.164844+00:00
MiscellaneousUniversity of Edinburgh Digital Marketing Online Course 2024 (Free),No description available,Not specified,https://www.youthop.com/miscellaneous/university-of-edinburgh-digital-marketing-online-course-2024-free?ref=home_featured,Training,2025-08-01T17:10:53.164847+00:00
FellowshipsTWAS-ICCBS Postgraduate Fellowship Programme 2025,No description available,Not specified,https://www.youthop.com/fellowships/twas-iccbs-postgraduate-fellowship-programme-2025?ref=home_featured,Scholarship,2025-08-01T17:10:53.164849+00:00
TWAS-ICCBS Postgraduate Fellowship Programme 2025,No description available,Not specified,https://www.youthop.com/fellowships/twas-iccbs-postgraduate-fellowship-programme-2025?ref=home_deadline-approaching,Scholarship,2025-08-01T17:10:53.164852+00:00
Africa’s Data Future Fellowship Program 2025 by CSEA,No description available,Not specified,https://www.youthop.com/fellowships/africas-data-future-fellowship-program-2025-by-csea?ref=home_latest-additions,Scholarship,2025-08-01T17:10:53.164855+00:00
Competitions,No description available,Not specified,https://www.youthop.com/competitions,Competition,2025-08-01T17:10:53.164857+00:00
ERROR,403 Client Error: Forbidden for url: https://www.mastersportal.com/scholarships/,N/A,https://www.scholarshipportal.com/,Error,2025-08-01T17:10:54.390357+00:00
ERROR,"HTTPSConnectionPool(host='www.daad.de', port=443): Max retries exceeded with url: /en/study-and-research-in-germany/scholarships/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7e54fd2dcd90>, 'Connection to www.daad.de timed out. (connect timeout=15)'))",N/A,https://www.daad.de/en/study-and-research-in-germany/scholarships/,Error,2025-08-01T17:11:10.410726+00:00
The Commonwealth Scholarship Commission in the UK (CSC) provides the main UK government scholarship scheme led by international development objectives.,"The CSC is an executive non-departmental public body, sponsored by theForeign, Commonwealth & Development Office.",may,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office,"Job, Scholarship",2025-08-01T17:11:13.034188+00:00
Scholarships and Fellowships,No description available,Not specified,https://cscuk.fcdo.gov.uk/about-us/scholarships-and-fellowships/,Scholarship,2025-08-01T17:11:13.034215+00:00
ERROR,"HTTPSConnectionPool(host='mastercardfoundation.org', port=443): Max retries exceeded with url: /all/scholars/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mastercardfoundation.org'. (_ssl.c:1016)"")))",N/A,https://mastercardfoundation.org/all/scholars/,Error,2025-08-01T17:11:14.760372+00:00
ERROR,"HTTPSConnectionPool(host='www.chevening.org', port=443): Read timed out. (read timeout=15)",N/A,https://www.chevening.org/,Error,2025-08-01T17:11:30.934121+00:00
Careers,No description available,Not specified,https://info.devpost.com/careers,Job,2025-08-01T17:11:33.010309+00:00
DevpostParticipate in our public hackathons,Devpost,Not specified,https://devpost.com/hackathons,Competition,2025-08-01T17:11:33.010333+00:00
Host a public hackathon,No description available,Not specified,https://info.devpost.com/product/public-hackathons,Competition,2025-08-01T17:11:33.010337+00:00
AI hackathons,By use case,Not specified,https://info.devpost.com/product/ai-hackathons,Competition,2025-08-01T17:11:33.010339+00:00
Customer hackathons,By use case,Not specified,https://info.devpost.com/product/customer-hackathons,Competition,2025-08-01T17:11:33.010342+00:00
ERROR,403 Client Error: Forbidden for url: https://mlh.io/,N/A,https://mlh.io/,Error,2025-08-01T17:11:34.112098+00:00
Careers,No description available,Not specified,https://www.hackerearth.com/companies/hackerearth/jobs/,Job,2025-08-01T17:11:40.320424+00:00
Competitive Challenges,No description available,Not specified,https://www.hackerearth.com/challenges/competitive/,Competition,2025-08-01T17:11:40.320447+00:00
Hackathons,No description available,Not specified,https://www.hackerearth.com/challenges/hackathon/,Competition,2025-08-01T17:11:40.320451+00:00
Hiring Challenges,No description available,Not specified,https://www.hackerearth.com/challenges/hiring/,"Job, Competition",2025-08-01T17:11:40.320454+00:00
University Challenges,No description available,Not specified,https://www.hackerearth.com/challenges/university/,Competition,2025-08-01T17:11:40.320468+00:00
Fractal.aiHIRINGFractal Gen AI Data Scientist Hiring Challenge 2025CTC INR  5.0L -  12.0LENDS IN:::,No description available,Not specified,https://www.hackerearth.com/challenges/challenges/hiring/fractal-gen-ai-engineer-hiring-challenge-2025/,"Job, Competition",2025-08-01T17:11:40.320471+00:00
"aOS Global BuildathonJul 28, 10:00 PM UTC (UTC)Prizes2672",No description available,jul,https://www.hackerearth.com/challenges/hackathon/andromeda-flightplan/,Competition,2025-08-01T17:11:40.320473+00:00
"Manager - Campus Engagement & CommunityJul  4, 2025 UTC (UTC)Prizes377",No description available,jul,https://www.hackerearth.com/challenges/challenges/competitive/manager-campus-engagement-community/,Competition,2025-08-01T17:11:40.320476+00:00
"Shell.ai Hackathon 2025Jul  4, 2025 UTC (UTC)Prizes7010",No description available,jul,https://www.hackerearth.com/challenges/challenges/competitive/shellai-hackathon-2025/,Competition,2025-08-01T17:11:40.320479+00:00
"BlockDAG Hackathon 2025: Scale Without SacrificeJul  3, 2025 UTC (UTC)Prizes6191",No description available,jul,https://www.hackerearth.com/challenges/hackathon/blockdag-hackathon-2025-scale-without-sacrifice/,Competition,2025-08-01T17:11:40.320482+00:00
"ScriptedByHerJun 10, 2025 UTC (UTC)Prizes36337",No description available,jun,https://www.hackerearth.com/challenges/hackathon/scriptedbyher-reg/,Competition,2025-08-01T17:11:40.320484+00:00
"Splunk Build-a-thon!Jun  9, 2025 UTC (UTC)Prizes1364",No description available,jun,https://www.hackerearth.com/challenges/hackathon/splunk-build-a-thon/,Competition,2025-08-01T17:11:40.320487+00:00
Kaggle Competitions,Kaggle is the world’s largest data science community with powerful tools and resources to help you achieve your data science goals.,Not specified,https://www.kaggle.com/competitions,Competition,2025-08-01T17:11:41.542148+00:00
Career services,No description available,Not specified,https://www.lewagon.com/career-services,Job,2025-08-01T17:11:43.285817+00:00
Data Science & AI Bootcamp,No description available,Not specified,https://www.lewagon.com/data-science-course,Training,2025-08-01T17:11:43.285845+00:00
Data Engineering Bootcamp,No description available,Not specified,https://www.lewagon.com/data-engineering-course,Training,2025-08-01T17:11:43.285849+00:00
Data Analytics Bootcamp,No description available,Not specified,https://www.lewagon.com/data-analytics-course,Training,2025-08-01T17:11:43.285852+00:00
Python & Machine Learning,No description available,Not specified,https://www.lewagon.com/python-machine-learning-course,Training,2025-08-01T17:11:43.285855+00:00
Take our career quiz,No description available,Not specified,https://info.lewagon.com/find-my-course,Job,2025-08-01T17:11:43.285858+00:00
AI Software Bootcamp,No description available,Not specified,https://www.lewagon.com/web-development-course,Training,2025-08-01T17:11:43.285861+00:00
Careers,No description available,Not specified,https://replit.com/community/careers,Job,2025-08-01T17:11:45.044932+00:00
💪 Monthly Challenges,No description available,Not specified,https://www.shecodes.io/challenges,Competition,2025-08-01T17:11:48.415002+00:00
All Jobs,No description available,Not specified,https://reliefweb.int/jobs/jobs,Job,2025-08-01T17:11:50.677145+00:00
International tender for a participatory action research: grassroots youth education and livelihoods funding mechanism,No description available,Not specified,https://reliefweb.int/job/4168587/international-tender-participatory-action-research-grassroots-youth-education-and-livelihoods-funding-mechanism,"Job, Scholarship, Training",2025-08-01T17:11:50.677176+00:00
Training,No description available,Not specified,https://reliefweb.int/jobs/training,Training,2025-08-01T17:11:50.677182+00:00
Request For Proposals (RFP): Provision of Follow up Advanced Drug Rehabilitation Training Services Porject,No description available,Not specified,https://reliefweb.int/job/4168329/request-proposals-rfp-provision-follow-advanced-drug-rehabilitation-training-services-porject,Training,2025-08-01T17:11:50.677188+00:00
UN Careers,United Nations,Not specified,https://careers.un.org/,Job,2025-08-01T17:11:53.891077+00:00
ERROR,403 Client Error: Forbidden for url: https://www.undp.org/rwanda/jobs,N/A,https://www.undp.org/rwanda/jobs,Error,2025-08-01T17:11:55.034932+00:00
Job openings,Share,Not specified,https://twitter.com/intent/tweet?text=Job%20openings&url=https%3A%2F%2Foneacrefund.org%2Fcareers%2Fjob-openings&via=oneacrefund_org,Job,2025-08-01T17:11:57.962622+00:00
DRC Rotational Associate / Manager (Renewable),"Seeking junior and senior generalists, with good analytical skills, driven by impact and innovation, to support a fast-growing program across all departments, on a project-by-project basis.",Not specified,https://oneacrefund.org/work-with-us/job-openings/vacancies/drc-rotational-associate-manager-renewable,"Training, Entrepreneurship",2025-08-01T17:11:57.962645+00:00
Rwanda Potato Seed Production Field Intern,"Seeking a dedicated candidate with a degree in agriculture and at least year of potato farming experience. Must have strong field skills, attention to detail, and fluency in Kinyarwanda and English.",Not specified,https://oneacrefund.org/work-with-us/job-openings/vacancies/rwanda-potato-seed-production-field-intern,"Job, Training",2025-08-01T17:11:57.962650+00:00
Burundi Gender Consultant,"Gender-disaggregated data from the One Acre Fund Burundi program collected in 2024 found that 76% of clients reported that it is the women in the household who carry out the majority of farm labor yet only 62% of women attend the various trainings. To address this gap, One Acre Fund seeks to increase women’s attendance in climate-smart training sessions by developing and revising training materials to be more gender sensitive and incorporating topics related to gender-based violence, joint decis",Not specified,https://oneacrefund.org/work-with-us/job-openings/vacancies/burundi-gender-consultant,Training,2025-08-01T17:11:57.962653+00:00
