opportunity_title,description,deadline,link,category,crawled_at
Financial assistance and grants,No description available,Not specified,https://oge.mit.edu/finances-employment/financial-assistance-and-grants/,Scholarship,2025-08-01T16:57:52.430019+00:00
MIT Grant for Graduate Students with Children (GGSC),No description available,Not specified,https://oge.mit.edu/finances-employment/financial-assistance-and-grants/mit-grant-for-graduate-students-with-children/,Scholarship,2025-08-01T16:57:52.430022+00:00
Doctoral Long-Term Financial Hardship Funding,No description available,Not specified,https://oge.mit.edu/finances-employment/financial-assistance-and-grants/doctoral-long-term-financial-hardship-funding/,Scholarship,2025-08-01T16:57:52.430025+00:00
Funding & compensation,No description available,Not specified,https://oge.mit.edu/finances/financial-assistance/gpp/funding-compensation/,Scholarship,2025-08-01T16:57:52.430029+00:00
Costs & funding,No description available,Not specified,https://oge.mit.edu/graduate-admissions/costs-funding/,Scholarship,2025-08-01T16:57:52.430032+00:00
Graduate Funding and Fellowships,No description available,Not specified,https://oge.mit.edu/news-and-events/events/grad-funding-fellowships/,Scholarship,2025-08-01T16:57:52.430035+00:00
Required training,No description available,Not specified,https://oge.mit.edu/community-belonging/required-training/,Training,2025-08-01T16:57:52.430039+00:00
Additional Funding & Procedures,No description available,Not specified,https://college.harvard.edu/financial-aid/financial-aid/additional-funding-procedures,Scholarship,2025-08-01T16:57:54.375693+00:00
"Traveling on Harvard Funding: My Spring Break Trip to Cairo, Egypt!Author:FarahClass of'22
 Alumni",No description available,Not specified,https://college.harvard.edu/financial-aid/student-life/student-stories/traveling-harvard-funding-my-spring-break-trip-cairo-egypt,Scholarship,2025-08-01T16:57:54.375721+00:00
International Applicants,No description available,Not specified,https://college.harvard.edu/financial-aid/admissions/apply/international-applicants,Job,2025-08-01T16:57:54.375726+00:00
Graduate School of Business,No description available,Not specified,https://www.gsb.stanford.edu/programs/mba/financial-aid,Entrepreneurship,2025-08-01T16:57:56.300908+00:00
ERROR,403 Client Error: Forbidden for url: https://sfs.columbia.edu/,N/A,https://sfs.columbia.edu/,Error,2025-08-01T16:57:57.491093+00:00
Welcome to Undergraduate Financial Aid | Undergraduate Financial Aid,No description,Not specified,https://finaid.yale.edu/,Scholarship,2025-08-01T16:57:58.660605+00:00
ERROR,404 Client Error: Not Found for url: https://admissions.dartmouth.edu/afford,N/A,https://admissions.dartmouth.edu/afford,Error,2025-08-01T16:58:01.506501+00:00
Grantee Directory,No description available,Not specified,https://foreign.fulbrightonline.org/alumni/grantee-directory?view=granteedirectory,Scholarship,2025-08-01T16:58:03.434694+00:00
Grantee Directory,No description available,Not specified,https://foreign.fulbrightonline.org/alumni/grantee-directory,Scholarship,2025-08-01T16:58:03.434718+00:00
Job Opportunities & Fairs,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/job-opportunities---fairs,Job,2025-08-01T16:58:06.178878+00:00
Recruit NTU Students for Jobs,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-employers/recruit-ntu-students-for-jobs,Job,2025-08-01T16:58:06.178907+00:00
Careers,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/about-us/build-a-career-at-ntu,Job,2025-08-01T16:58:06.178911+00:00
"Career Guidance, Jobs and Internships",No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations,Job,2025-08-01T16:58:06.178914+00:00
Career Coaching & Consultation,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/career-coaching---consultation,Job,2025-08-01T16:58:06.178917+00:00
Career Planning Tools,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/career-planning-tools,Job,2025-08-01T16:58:06.178920+00:00
Industry Exposure & Internships,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/industry-exposure---internships,Job,2025-08-01T16:58:06.178923+00:00
Skills Development,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/education/career-guidance-industry-collaborations/for-students/skills-development,Training,2025-08-01T16:58:06.178926+00:00
Scholarships and Awards,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/admissions/undergraduate/scholarships,Scholarship,2025-08-01T16:58:06.178928+00:00
Scholarships,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/admissions/graduate/financialmatters/scholarships,Scholarship,2025-08-01T16:58:06.178931+00:00
Research Grants / Revenue,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/about-us/facts-figures/research-grants-revenue,Scholarship,2025-08-01T16:58:06.178934+00:00
Tuition Grants,No description available,Not specified,https://www.ntu.edu.sg/admissions/undergraduate/financial-matters/financial-aid/admissions/undergraduate/financial-matters/tuition-grants,Scholarship,2025-08-01T16:58:06.178937+00:00
Career,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/career,Job,2025-08-01T16:58:08.518550+00:00
National Science Scholarship (BS-PhD),No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-undergraduate-studies/national-science-scholarship-bs,Scholarship,2025-08-01T16:58:08.518583+00:00
National Science Scholarship (Masters),No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/national-science-scholarship-masters,Scholarship,2025-08-01T16:58:08.518590+00:00
National Science Scholarship (PhD),No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/national-science-scholarship-phd,Scholarship,2025-08-01T16:58:08.518595+00:00
A*STAR Computing & Information Science Scholarship,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/a-star-cis-scholarship,Scholarship,2025-08-01T16:58:08.518600+00:00
A*STAR Graduate Scholarship,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/for-graduate-studies/a-star-graduate-scholarship-singapore,Scholarship,2025-08-01T16:58:08.518605+00:00
International Awardees,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/our-scholars/scholarship-awardees,Job,2025-08-01T16:58:08.518610+00:00
Scholarship Award Ceremony 2025,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Scholarships/our-scholars/scholarship-award-ceremony-2025,Scholarship,2025-08-01T16:58:08.518615+00:00
Funding Opportunities,No description available,Not specified,https://www.a-star.edu.sg/Scholarships/Research/funding-opportunities,Scholarship,2025-08-01T16:58:08.518620+00:00
0Your <strong>Saved Jobs</strong>,No description available,Not specified,https://grab.careers/en/jobs/saved-jobs/,Job,2025-08-01T16:58:11.940051+00:00
Career pathways,No description available,Not specified,https://grab.careers/en/how-we-hire/career-pathways/,Job,2025-08-01T16:58:11.940076+00:00
Come Make History With Us | Shopee Careers,No description,Not specified,https://careers.shopee.sg/,Job,2025-08-01T16:58:13.276866+00:00
Careers,No description available,Not specified,https://www.commonapp.org/careers,Job,2025-08-01T16:58:14.556372+00:00
Career Advice,No description available,Not specified,https://scholarship-positions.com/category/careers/,Job,2025-08-01T16:58:16.257175+00:00
Career Counselling,No description available,Not specified,https://scholarship-positions.com/career-counselling/,Job,2025-08-01T16:58:16.257203+00:00
Scholarship Positions 2024 2025,No description available,Not specified,https://scholarship-positions.com/,"Job, Scholarship",2025-08-01T16:58:16.257206+00:00
Internships,No description available,Not specified,https://opportunitydesk.org/category/jobs-and-internships/internships/,Job,2025-08-01T16:58:18.755776+00:00
"20 Hot Jobs, Internship and Volunteer Opportunities Across Various Sectors Currently Open – July 26, 2025Â",No description available,jul,https://opportunitydesk.org/2025/07/27/20-hot-jobs-internship-and-volunteer-opportunities-across-various-sectors-currently-open-july-26-2025/,Job,2025-08-01T16:58:18.755800+00:00
Hot Jobs,No description available,Not specified,https://opportunitydesk.org/category/jobs-and-internships/,Job,2025-08-01T16:58:18.755804+00:00
Scholarships,No description available,Not specified,https://opportunitydesk.org/category/fellowships-and-scholarships/,Scholarship,2025-08-01T16:58:18.755807+00:00
Short Courses,No description available,Not specified,https://opportunitydesk.org/category/fellowships-and-scholarships/short-courses/,Training,2025-08-01T16:58:18.755810+00:00
Online Courses,No description available,Not specified,https://opportunitydesk.org/category/fellowships-and-scholarships/online-courses/,Training,2025-08-01T16:58:18.755813+00:00
Grants,No description available,Not specified,https://opportunitydesk.org/category/grants/,Scholarship,2025-08-01T16:58:18.755815+00:00
"The Habitat Foundation Grants 2026 (up to RM50,000)",No description available,Not specified,https://opportunitydesk.org/2025/08/01/the-habitat-foundation-grants-2026/,Scholarship,2025-08-01T16:58:18.755818+00:00
Training,No description available,Not specified,https://opportunitydesk.org/category/training-and-conference/training/,Training,2025-08-01T16:58:18.755820+00:00
African Union CIEFFA Online Capacity Building Training 2025 (Fully-funded),No description available,Not specified,https://opportunitydesk.org/2025/07/30/african-union-cieffa-online-capacity-building-training-2025/,Training,2025-08-01T16:58:18.755823+00:00
East Africa Law Society Training for Public Interest Lawyers on Digital Rights in Sub Saharan Africa 2025 (Fully-funded),No description available,Not specified,https://opportunitydesk.org/2025/07/23/eals-training-for-public-interest-lawyers-2025/,Training,2025-08-01T16:58:18.755826+00:00
UNESCO Quantum Course for Women Scientists in Africa 2025,No description available,Not specified,https://opportunitydesk.org/2025/08/01/unesco-quantum-course-for-women-scientists-in-africa-2025/,Training,2025-08-01T16:58:18.755828+00:00
Scholarships,No description available,Not specified,https://www.youthop.com/scholarships,Scholarship,2025-08-01T16:58:32.121833+00:00
ScholarshipsThe Rhodes Scholarship 2025 (Fully Funded),No description available,Not specified,https://www.youthop.com/scholarships/the-rhodes-scholarship-2025-fully-funded?ref=home_featured,Scholarship,2025-08-01T16:58:32.121856+00:00
ScholarshipsKnight-Hennessy Scholars (KHS) program,No description available,Not specified,https://www.youthop.com/scholarships/knight-hennessy-scholars-khs-program?ref=home_featured,Scholarship,2025-08-01T16:58:32.121862+00:00
Grants,No description available,Not specified,https://www.youthop.com/competitions/grants,Scholarship,2025-08-01T16:58:32.121865+00:00
Call for Applications: Women of the South Speak Out Fellowship (WOSSO) Fellowship for the Asia-Pacific,No description available,Not specified,https://www.youthop.com/competitions/grants/call-for-applications-women-of-the-south-speak-out-fellowship-wosso-fellowship-for-the-asia-pacific?ref=home_trending,Scholarship,2025-08-01T16:58:32.121869+00:00
"Global Innovation Challenge 2024 (Grant Awards of up to $10,000 USD)",No description available,Not specified,https://www.youthop.com/competitions/global-innovation-challenge-2024-grant-awards-of-up-to-10000-usd?ref=home_trending,"Scholarship, Competition, Entrepreneurship",2025-08-01T16:58:32.121872+00:00
UN Young Leaders Training Programme 2024,No description available,Not specified,https://www.youthop.com/miscellaneous/un-young-leaders-training-programme-2024?ref=home_trending,Training,2025-08-01T16:58:32.121875+00:00
MiscellaneousUniversity of Edinburgh Digital Marketing Online Course 2024 (Free),No description available,Not specified,https://www.youthop.com/miscellaneous/university-of-edinburgh-digital-marketing-online-course-2024-free?ref=home_featured,Training,2025-08-01T16:58:32.121878+00:00
FellowshipsTWAS-ICCBS Postgraduate Fellowship Programme 2025,No description available,Not specified,https://www.youthop.com/fellowships/twas-iccbs-postgraduate-fellowship-programme-2025?ref=home_featured,Scholarship,2025-08-01T16:58:32.121880+00:00
TWAS-ICCBS Postgraduate Fellowship Programme 2025,No description available,Not specified,https://www.youthop.com/fellowships/twas-iccbs-postgraduate-fellowship-programme-2025?ref=home_deadline-approaching,Scholarship,2025-08-01T16:58:32.121883+00:00
Africa’s Data Future Fellowship Program 2025 by CSEA,No description available,Not specified,https://www.youthop.com/fellowships/africas-data-future-fellowship-program-2025-by-csea?ref=home_latest-additions,Scholarship,2025-08-01T16:58:32.121885+00:00
Competitions,No description available,Not specified,https://www.youthop.com/competitions,Competition,2025-08-01T16:58:32.121888+00:00
ERROR,403 Client Error: Forbidden for url: https://www.mastersportal.com/scholarships/,N/A,https://www.scholarshipportal.com/,Error,2025-08-01T16:58:33.389773+00:00
ERROR,"HTTPSConnectionPool(host='www.daad.de', port=443): Max retries exceeded with url: /en/study-and-research-in-germany/scholarships/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7a33895d7750>, 'Connection to www.daad.de timed out. (connect timeout=15)'))",N/A,https://www.daad.de/en/study-and-research-in-germany/scholarships/,Error,2025-08-01T16:58:49.415404+00:00
The Commonwealth Scholarship Commission in the UK (CSC) provides the main UK government scholarship scheme led by international development objectives.,"The CSC is an executive non-departmental public body, sponsored by theForeign, Commonwealth & Development Office.",may,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office,"Job, Scholarship",2025-08-01T16:58:51.048493+00:00
Scholarships and Fellowships,No description available,Not specified,https://cscuk.fcdo.gov.uk/about-us/scholarships-and-fellowships/,Scholarship,2025-08-01T16:58:51.048526+00:00
ERROR,"HTTPSConnectionPool(host='mastercardfoundation.org', port=443): Max retries exceeded with url: /all/scholars/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mastercardfoundation.org'. (_ssl.c:1016)"")))",N/A,https://mastercardfoundation.org/all/scholars/,Error,2025-08-01T16:58:52.735165+00:00
ERROR,"HTTPSConnectionPool(host='www.chevening.org', port=443): Read timed out. (read timeout=15)",N/A,https://www.chevening.org/,Error,2025-08-01T16:59:08.869024+00:00
Careers,No description available,Not specified,https://info.devpost.com/careers,Job,2025-08-01T16:59:11.029773+00:00
DevpostParticipate in our public hackathons,Devpost,Not specified,https://devpost.com/hackathons,Competition,2025-08-01T16:59:11.029804+00:00
Host a public hackathon,No description available,Not specified,https://info.devpost.com/product/public-hackathons,Competition,2025-08-01T16:59:11.029811+00:00
AI hackathons,By use case,Not specified,https://info.devpost.com/product/ai-hackathons,Competition,2025-08-01T16:59:11.029817+00:00
Customer hackathons,By use case,Not specified,https://info.devpost.com/product/customer-hackathons,Competition,2025-08-01T16:59:11.029822+00:00
ERROR,403 Client Error: Forbidden for url: https://mlh.io/,N/A,https://mlh.io/,Error,2025-08-01T16:59:12.089329+00:00
Careers,No description available,Not specified,https://www.hackerearth.com/companies/hackerearth/jobs/,Job,2025-08-01T16:59:17.940805+00:00
Competitive Challenges,No description available,Not specified,https://www.hackerearth.com/challenges/competitive/,Competition,2025-08-01T16:59:17.940841+00:00
Hackathons,No description available,Not specified,https://www.hackerearth.com/challenges/hackathon/,Competition,2025-08-01T16:59:17.940846+00:00
Hiring Challenges,No description available,Not specified,https://www.hackerearth.com/challenges/hiring/,"Job, Competition",2025-08-01T16:59:17.940849+00:00
University Challenges,No description available,Not specified,https://www.hackerearth.com/challenges/university/,Competition,2025-08-01T16:59:17.940852+00:00
Fractal.aiHIRINGFractal Gen AI Data Scientist Hiring Challenge 2025CTC INR  5.0L -  12.0LENDS IN:::,No description available,Not specified,https://www.hackerearth.com/challenges/challenges/hiring/fractal-gen-ai-engineer-hiring-challenge-2025/,"Job, Competition",2025-08-01T16:59:17.940856+00:00
"aOS Global BuildathonJul 28, 10:00 PM UTC (UTC)Prizes",No description available,jul,https://www.hackerearth.com/challenges/hackathon/andromeda-flightplan/,Competition,2025-08-01T16:59:17.940859+00:00
"Manager - Campus Engagement & CommunityJul  4, 2025 UTC (UTC)Prizes",No description available,jul,https://www.hackerearth.com/challenges/challenges/competitive/manager-campus-engagement-community/,Competition,2025-08-01T16:59:17.940861+00:00
"Shell.ai Hackathon 2025Jul  4, 2025 UTC (UTC)Prizes",No description available,jul,https://www.hackerearth.com/challenges/challenges/competitive/shellai-hackathon-2025/,Competition,2025-08-01T16:59:17.940864+00:00
"BlockDAG Hackathon 2025: Scale Without SacrificeJul  3, 2025 UTC (UTC)Prizes",No description available,jul,https://www.hackerearth.com/challenges/hackathon/blockdag-hackathon-2025-scale-without-sacrifice/,Competition,2025-08-01T16:59:17.940867+00:00
"ScriptedByHerJun 10, 2025 UTC (UTC)Prizes",No description available,jun,https://www.hackerearth.com/challenges/hackathon/scriptedbyher-reg/,Competition,2025-08-01T16:59:17.940869+00:00
"Splunk Build-a-thon!Jun  9, 2025 UTC (UTC)Prizes",No description available,jun,https://www.hackerearth.com/challenges/hackathon/splunk-build-a-thon/,Competition,2025-08-01T16:59:17.940872+00:00
Kaggle Competitions,Kaggle is the world’s largest data science community with powerful tools and resources to help you achieve your data science goals.,Not specified,https://www.kaggle.com/competitions,Competition,2025-08-01T16:59:19.165286+00:00
Career services,No description available,Not specified,https://www.lewagon.com/career-services,Job,2025-08-01T16:59:20.862467+00:00
Data Science & AI Bootcamp,No description available,Not specified,https://www.lewagon.com/data-science-course,Training,2025-08-01T16:59:20.862497+00:00
Data Engineering Bootcamp,No description available,Not specified,https://www.lewagon.com/data-engineering-course,Training,2025-08-01T16:59:20.862502+00:00
Data Analytics Bootcamp,No description available,Not specified,https://www.lewagon.com/data-analytics-course,Training,2025-08-01T16:59:20.862504+00:00
Python & Machine Learning,No description available,Not specified,https://www.lewagon.com/python-machine-learning-course,Training,2025-08-01T16:59:20.862507+00:00
Take our career quiz,No description available,Not specified,https://info.lewagon.com/find-my-course,Job,2025-08-01T16:59:20.862510+00:00
AI Software Bootcamp,No description available,Not specified,https://www.lewagon.com/web-development-course,Training,2025-08-01T16:59:20.862513+00:00
Careers,No description available,Not specified,https://replit.com/community/careers,Job,2025-08-01T16:59:22.746169+00:00
💪 Monthly Challenges,No description available,Not specified,https://www.shecodes.io/challenges,Competition,2025-08-01T16:59:25.874536+00:00
All Jobs,No description available,Not specified,https://reliefweb.int/jobs/jobs,Job,2025-08-01T16:59:28.062867+00:00
International tender for a participatory action research: grassroots youth education and livelihoods funding mechanism,No description available,Not specified,https://reliefweb.int/job/4168587/international-tender-participatory-action-research-grassroots-youth-education-and-livelihoods-funding-mechanism,"Job, Scholarship, Training",2025-08-01T16:59:28.062893+00:00
Training,No description available,Not specified,https://reliefweb.int/jobs/training,Training,2025-08-01T16:59:28.062897+00:00
Request For Proposals (RFP): Provision of Follow up Advanced Drug Rehabilitation Training Services Porject,No description available,Not specified,https://reliefweb.int/job/4168329/request-proposals-rfp-provision-follow-advanced-drug-rehabilitation-training-services-porject,Training,2025-08-01T16:59:28.062900+00:00
UN Careers,United Nations,Not specified,https://careers.un.org/,Job,2025-08-01T16:59:30.595812+00:00
ERROR,403 Client Error: Forbidden for url: https://www.undp.org/rwanda/jobs,N/A,https://www.undp.org/rwanda/jobs,Error,2025-08-01T16:59:31.795964+00:00
Job openings,Share,Not specified,https://twitter.com/intent/tweet?text=Job%20openings&url=https%3A%2F%2Foneacrefund.org%2Fcareers%2Fjob-openings&via=oneacrefund_org,Job,2025-08-01T16:59:34.792098+00:00
DRC Rotational Associate / Manager (Renewable),"Seeking junior and senior generalists, with good analytical skills, driven by impact and innovation, to support a fast-growing program across all departments, on a project-by-project basis.",Not specified,https://oneacrefund.org/work-with-us/job-openings/vacancies/drc-rotational-associate-manager-renewable,"Training, Entrepreneurship",2025-08-01T16:59:34.792134+00:00
Rwanda Potato Seed Production Field Intern,"Seeking a dedicated candidate with a degree in agriculture and at least year of potato farming experience. Must have strong field skills, attention to detail, and fluency in Kinyarwanda and English.",Not specified,https://oneacrefund.org/work-with-us/job-openings/vacancies/rwanda-potato-seed-production-field-intern,"Job, Training",2025-08-01T16:59:34.792141+00:00
Burundi Gender Consultant,"Gender-disaggregated data from the One Acre Fund Burundi program collected in 2024 found that 76% of clients reported that it is the women in the household who carry out the majority of farm labor yet only 62% of women attend the various trainings. To address this gap, One Acre Fund seeks to increase women’s attendance in climate-smart training sessions by developing and revising training materials to be more gender sensitive and incorporating topics related to gender-based violence, joint decis",Not specified,https://oneacrefund.org/work-with-us/job-openings/vacancies/burundi-gender-consultant,Training,2025-08-01T16:59:34.792148+00:00
Job application process,No description available,Not specified,https://oneacrefund.org/work-with-us/job-openings/careers/applying-one-acre-fund/job-application-process,Job,2025-08-01T16:59:34.792155+00:00
